InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536366,P1014,Coffee Grinder,2,2024-06-13 00:00:00,34.84,12000,India
536366,P1011,Throw Blanket,2,2024-06-13 00:00:00,28.78,12000,India
536366,P1039,Diffuser,2,2024-06-13 00:00:00,30.31,12000,India
536366,P1043,Webcam,2,2024-06-13 00:00:00,41.26,12000,India
536366,P1006,Yoga Mat,1,2024-06-13 00:00:00,19.77,12000,India
C536367,P1044,Monitor Stand,-2,2024-07-29 00:00:00,30.81,12000,India
536367,P1045,Cable Organizer,1,2024-07-29 00:00:00,6.01,12000,India
536367,P1024,Reusable Straws,4,2024-07-29 00:00:00,4.28,12000,India
536367,P1008,Backpack,2,2024-07-29 00:00:00,41.1,12000,India
536367,P1059,Nightlight,1,2024-07-29 00:00:00,10.29,12000,India
536368,P1003,Desk Lamp,1,2024-10-05 00:00:00,17.8,12000,India
536368,P1019,Photo Frame,4,2024-10-05 00:00:00,9.06,12000,India
536368,P1041,Desk Mat,1,2024-10-05 00:00:00,14.13,12000,India
536368,P1011,Throw Blanket,3,2024-10-05 00:00:00,27.65,12000,India
536369,P1058,Humidifier,11,2024-03-10 00:00:00,32.58,12001,India
536369,P1040,Laptop Sleeve,5,2024-03-10 00:00:00,16.83,12001,India
536369,P1026,Makeup Brush Set,10,2024-03-10 00:00:00,23.19,12001,India
536370,P1026,Makeup Brush Set,9,2024-03-26 00:00:00,21.19,12001,India
536370,P1047,Earbuds,6,2024-03-26 00:00:00,47.3,12001,India
536370,P1008,Backpack,7,2024-03-26 00:00:00,46.42,12001,India
536370,P1043,Webcam,3,2024-03-26 00:00:00,36.62,12001,India
536371,P1037,String Lights,10,2024-04-23 00:00:00,13.85,12001,India
536371,P1056,Sticky Notes Pack,9,2024-04-23 00:00:00,3.67,12001,India
536371,P1002,Wireless Mouse,7,2024-04-23 00:00:00,16.24,12001,India
536371,P1034,Cookbook,6,2024-04-23 00:00:00,13.78,12001,India
536371,P1008,Backpack,11,2024-04-23 00:00:00,42.74,12001,India
536372,P1027,Skincare Kit,10,2024-05-04 00:00:00,37.55,12001,India
536372,P1044,Monitor Stand,3,2024-05-04 00:00:00,33.54,12001,India
536372,P1003,Desk Lamp,4,2024-05-04 00:00:00,17.62,12001,India
536373,P1026,Makeup Brush Set,6,2024-06-10 00:00:00,22.92,12001,India
536373,P1019,Photo Frame,4,2024-06-10 00:00:00,9.82,12001,India
536373,P1034,Cookbook,7,2024-06-10 00:00:00,14.27,12001,India
536373,P1017,Umbrella,4,2024-06-10 00:00:00,10.5,12001,India
536374,P1014,Coffee Grinder,7,2024-09-10 00:00:00,31.49,12001,India
536374,P1007,Water Bottle,3,2024-09-10 00:00:00,8.67,12001,India
536374,P1000,Ceramic Mug,4,2024-09-10 00:00:00,6.01,12001,India
536374,P1045,Cable Organizer,3,2024-09-10 00:00:00,5.93,12001,India
536375,P1030,Running Socks,7,2024-09-27 00:00:00,6.08,12001,India
536375,P1012,Phone Stand,7,2024-09-27 00:00:00,7.53,12001,India
536375,P1013,Travel Pillow,8,2024-09-27 00:00:00,12.57,12001,India
536375,P1026,Makeup Brush Set,4,2024-09-27 00:00:00,22.39,12001,India
536376,P1035,Wine Glasses (Set),4,2024-10-16 00:00:00,27.06,12001,India
536376,P1059,Nightlight,5,2024-10-16 00:00:00,9.56,12001,India
536376,P1047,Earbuds,6,2024-10-16 00:00:00,43.58,12001,India
536377,P1057,Desk Fan,7,2024-11-18 00:00:00,20.88,12001,India
536378,P1060,Storage Bins (Set),4,2024-07-15 00:00:00,17.78,12002,United Kingdom
536378,P1006,Yoga Mat,6,2024-07-15 00:00:00,20.04,12002,United Kingdom
536378,P1009,Sunglasses,4,2024-07-15 00:00:00,22.28,12002,United Kingdom
536378,P1022,Cushion Cover,6,2024-07-15 00:00:00,10.32,12002,United Kingdom
536378,P1042,Keyboard,3,2024-07-15 00:00:00,53.34,12002,United Kingdom
536379,P1032,Resistance Bands,5,2024-08-11 00:00:00,12.67,12002,United Kingdom
536379,P1050,Puzzle 1000pc,6,2024-08-11 00:00:00,12.65,12002,United Kingdom
536380,P1009,Sunglasses,4,2024-09-09 00:00:00,22.43,12002,United Kingdom
536380,P1042,Keyboard,5,2024-09-09 00:00:00,49.77,12002,United Kingdom
536380,P1052,Kids Backpack,5,2024-09-09 00:00:00,22.99,12002,United Kingdom
C536381,P1003,Desk Lamp,-3,2024-09-21 00:00:00,18.84,12002,United Kingdom
536381,P1002,Wireless Mouse,3,2024-09-21 00:00:00,15.55,12002,United Kingdom
536381,P1026,Makeup Brush Set,3,2024-09-21 00:00:00,23.53,12002,United Kingdom
536381,P1055,Pen Set,3,2024-09-21 00:00:00,10.64,12002,United Kingdom
536382,P1020,Plant Pot,6,2024-10-21 00:00:00,13.12,12002,United Kingdom
536383,P1040,Laptop Sleeve,4,2024-01-01 00:00:00,18.09,12003,India
536383,P1009,Sunglasses,2,2024-01-01 00:00:00,22.01,12003,India
536383,P1026,Makeup Brush Set,1,2024-01-01 00:00:00,22.19,12003,India
536383,P1036,Cheese Board,4,2024-01-01 00:00:00,21.74,12003,India
536384,P1030,Running Socks,2,2024-02-05 00:00:00,6.18,12003,India
536384,P1039,Diffuser,2,2024-02-05 00:00:00,27.21,12003,India
536384,P1015,Kitchen Scale,1,2024-02-05 00:00:00,16.41,12003,India
536384,P1002,Wireless Mouse,2,2024-02-05 00:00:00,14.82,12003,India
536385,P1023,Wall Art Print,3,2024-04-26 00:00:00,21.09,12003,India
536385,P1043,Webcam,4,2024-04-26 00:00:00,39.29,12003,India
536386,P1018,Table Clock,2,2024-04-27 00:00:00,18.45,12003,India
536387,P1005,Bluetooth Speaker,1,2024-10-20 00:00:00,29.61,12003,India
536387,P1054,Journal,3,2024-10-20 00:00:00,9.27,12003,India
536387,P1046,Power Bank,1,2024-10-20 00:00:00,23.31,12003,India
536387,P1033,Protein Shaker,1,2024-10-20 00:00:00,7.88,12003,India
536388,P1028,Perfume,2,2024-11-08 00:00:00,40.61,12003,India
536388,P1043,Webcam,4,2024-11-08 00:00:00,36.36,12003,India
536388,P1029,Leather Belt,4,2024-11-08 00:00:00,17.35,12003,India
536388,P1046,Power Bank,1,2024-11-08 00:00:00,23.16,12003,India
536388,P1022,Cushion Cover,3,2024-11-08 00:00:00,10.13,12003,India
536389,P1045,Cable Organizer,2,2024-03-26 00:00:00,6.7,12004,United Kingdom
536389,P1009,Sunglasses,2,2024-03-26 00:00:00,20.27,12004,United Kingdom
536389,P1006,Yoga Mat,1,2024-03-26 00:00:00,18.91,12004,United Kingdom
536389,P1034,Cookbook,1,2024-03-26 00:00:00,14.23,12004,United Kingdom
536390,P1029,Leather Belt,1,2024-06-03 00:00:00,17.61,12004,United Kingdom
536390,P1021,Desk Organizer,2,2024-06-03 00:00:00,15.46,12004,United Kingdom
536390,P1059,Nightlight,2,2024-06-03 00:00:00,10.45,12004,United Kingdom
536391,P1024,Reusable Straws,1,2024-09-10 00:00:00,4.69,12005,United Kingdom
536391,P1048,Fitness Tracker,2,2024-09-10 00:00:00,57.94,12005,United Kingdom
536391,P1047,Earbuds,1,2024-09-10 00:00:00,45.21,12005,United Kingdom
536391,P1019,Photo Frame,2,2024-09-10 00:00:00,8.6,12005,United Kingdom
536391,P1040,Laptop Sleeve,2,2024-09-10 00:00:00,18.82,12005,United Kingdom
536392,P1040,Laptop Sleeve,1,2024-11-08 00:00:00,16.77,12006,USA
536393,P1008,Backpack,6,2024-02-02 00:00:00,41.58,12007,Spain
536393,P1023,Wall Art Print,3,2024-02-02 00:00:00,20.66,12007,Spain
C536393,P1046,Power Bank,-2,2024-02-02 00:00:00,25.28,12007,Spain
536394,P1032,Resistance Bands,6,2024-03-28 00:00:00,12.34,12007,Spain
536394,P1043,Webcam,5,2024-03-28 00:00:00,39.36,12007,Spain
536394,P1044,Monitor Stand,7,2024-03-28 00:00:00,32.11,12007,Spain
536395,P1025,Hair Dryer,6,2024-05-02 00:00:00,26.25,12007,Spain
536395,P1056,Sticky Notes Pack,6,2024-05-02 00:00:00,3.87,12007,Spain
536396,P1022,Cushion Cover,6,2024-06-08 00:00:00,9.08,12007,Spain
536396,P1028,Perfume,5,2024-06-08 00:00:00,42.76,12007,Spain
536396,P1014,Coffee Grinder,7,2024-06-08 00:00:00,34.33,12007,Spain
536396,P1032,Resistance Bands,3,2024-06-08 00:00:00,13.09,12007,Spain
536396,P1002,Wireless Mouse,6,2024-06-08 00:00:00,15.47,12007,Spain
536397,P1008,Backpack,7,2024-11-12 00:00:00,45.59,12007,Spain
536397,P1037,String Lights,6,2024-11-12 00:00:00,13.49,12007,Spain
536398,P1028,Perfume,1,2024-04-13 00:00:00,40.43,12008,United Kingdom
536398,P1059,Nightlight,3,2024-04-13 00:00:00,9.64,12008,United Kingdom
536398,P1025,Hair Dryer,2,2024-04-13 00:00:00,26.87,12008,United Kingdom
536399,P1017,Umbrella,2,2024-04-17 00:00:00,11.31,12008,United Kingdom
536399,P1029,Leather Belt,4,2024-04-17 00:00:00,19.93,12008,United Kingdom
536399,P1007,Water Bottle,3,2024-04-17 00:00:00,8.48,12008,United Kingdom
536399,P1009,Sunglasses,3,2024-04-17 00:00:00,20.92,12008,United Kingdom
536400,P1028,Perfume,1,2024-05-19 00:00:00,37.88,12008,United Kingdom
536400,P1001,Leather Wallet,4,2024-05-19 00:00:00,22.62,12008,United Kingdom
536401,P1044,Monitor Stand,4,2024-06-21 00:00:00,30.22,12008,United Kingdom
536401,P1046,Power Bank,2,2024-06-21 00:00:00,25.45,12008,United Kingdom
536401,P1006,Yoga Mat,3,2024-06-21 00:00:00,19.96,12008,United Kingdom
536402,P1001,Leather Wallet,2,2024-08-16 00:00:00,22.19,12008,United Kingdom
536402,P1003,Desk Lamp,4,2024-08-16 00:00:00,17.34,12008,United Kingdom
C536403,P1055,Pen Set,-3,2024-03-11 00:00:00,11.05,12009,United Kingdom
536403,P1031,Gym Bag,6,2024-03-11 00:00:00,28.24,12009,United Kingdom
536403,P1022,Cushion Cover,6,2024-03-11 00:00:00,10.29,12009,United Kingdom
536403,P1056,Sticky Notes Pack,7,2024-03-11 00:00:00,3.87,12009,United Kingdom
536404,P1050,Puzzle 1000pc,7,2024-05-01 00:00:00,12.67,12009,United Kingdom
536404,P1013,Travel Pillow,4,2024-05-01 00:00:00,11.09,12009,United Kingdom
536405,P1045,Cable Organizer,6,2024-09-01 00:00:00,6.56,12009,United Kingdom
536405,P1038,Wall Clock,5,2024-09-01 00:00:00,24.67,12009,United Kingdom
536406,P1001,Leather Wallet,7,2024-10-22 00:00:00,22.39,12009,United Kingdom
536406,P1028,Perfume,3,2024-10-22 00:00:00,40.8,12009,United Kingdom
536406,P1015,Kitchen Scale,6,2024-10-22 00:00:00,14.47,12009,United Kingdom
536406,P1045,Cable Organizer,4,2024-10-22 00:00:00,6.53,12009,United Kingdom
536406,P1060,Storage Bins (Set),3,2024-10-22 00:00:00,18.9,12009,United Kingdom
536407,P1043,Webcam,3,2024-11-05 00:00:00,36.44,12009,United Kingdom
